Timestamp,moradorOuSeguranca,casaOuPredios,cidadeCasas,qntdCasas,1a5seguroCasas,1a5segurancaCasas,problemas,problemasDescricaoCasas,temCamerasCasas,camerasSuficientesCasas,moraComDependenteCasas,dependenteTransitaSoCasas,preocupadoDependenteAndarSoCasas,avisadoDependenteSoCasas,cidadePredios,qntdBlocosPredios,andaresPredios,1a5seguroPredios,1a5segurancaPredios,problemasPredios,descricaoPredios,temCamerasPredios,camerasSuficientesPredios,"MoraComDependentesPredios
distúrbios)",dependenteTansitaSoPredios,"PreocupadoDependenteAndarSoPredios
acompanhamento?",avisadoDependenteSoPredios,trabalhaCasaPredio,cidadeTrabalhaPredio,seguranca1a5trabalhaPredio,controleDeAcessoPredios,temCameraTrabalhaPredios,"CamerasSuficientesTrabalhaPredios
comuns?",problemasTrabalhaPredio,descricaoTrabalhaPredio,cidadeTrabalhaCasas,1a5segurancaTrabalhaCasas,Qual controle de acesso seu condomínio possui?,temCamerasTrabalhaCasas,camerasSuficientesCasas,problemasTrabalhaCasa,descricaoProblemaTrabalhaCasa
10/21/2024 13:11:01,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,São Paulo ,Até 6 blocos,Mais de 8 andares,3,3,Não,,Sim,Não,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:11:17,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Maceió,Mais de 11 blocos,De 3-8 andares,4,4,Não,,Sim,Não,Sim,Sim,Não,Sim,,,,,,,,,,,,,,,
10/21/2024 13:11:19,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Santiago do Chile,De 6 a 11 blocos,Mais de 8 andares,4,4,Não,Santiago de Chile,Sim,Não,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:11:21,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,41,De 6 a 11 blocos,De 3-8 andares,4,4,Sim,Moradores,Sim,Não,Não,,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:11:26,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,26,Até 6 blocos,Até 3 andares,5,5,Não,,Sim,Sim,Não,,,Sim,,,,,,,,,,,,,,,
10/21/2024 13:11:27,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,29,Até 6 blocos,Mais de 8 andares,5,5,Não,,Sim,Sim,Não,Sim,Não,Sim,,,,,,,,,,,,,,,
10/21/2024 13:11:30,Morador,Moro em um condomínio de Casas,Marabá. ,Até 5 quadras,4,4,Não,,Não,,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:11:31,Morador,Moro em um condomínio de Casas,31,Até 5 quadras,3,3,Não,,Sim,Não,Não,,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:11:38,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,São José dos Campos -SP ,Até 6 blocos,Mais de 8 andares,3,3,Não,,Sim,Não,Não,,,,,,,,,,,,,,,,,,
10/21/2024 13:11:43,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Petrolina ,Mais de 11 blocos,De 3-8 andares,4,4,Não,,Sim,Sim,Não,,,,,,,,,,,,,,,,,,
10/21/2024 13:11:45,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,50 anos ,Mais de 11 blocos,Mais de 8 andares,2,2,Sim,Já entraram para roubar,Sim,Não,Sim,Não,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:11:50,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Goiânia GO,Até 6 blocos,De 3-8 andares,5,5,Não,,Sim,Sim,Não,,Não,Sim,,,,,,,,,,,,,,,
10/21/2024 13:11:58,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Blumenau ,Até 6 blocos,De 3-8 andares,5,5,Não,,Sim,Sim,Não,,,,,,,,,,,,,,,,,,
10/21/2024 13:11:59,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Belo Horizonte ,Até 6 blocos,Mais de 8 andares,3,3,Sim,Achamos que marginais tivessem invadido nosso condomínio. ,Sim,Não,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:12:07,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,33,Até 6 blocos,Até 3 andares,1,2,Não,,Sim,Sim,Sim,Não,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:12:12,Morador,Moro em um condomínio de Casas,Macapá ,Mais de 10 quadras,5,5,Não,,Sim,Sim,Não,Não,Não,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:12:14,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Aracaju,Até 6 blocos,Mais de 8 andares,5,5,Não,,Sim,Sim,Sim,Sim,Não,Sim,,,,,,,,,,,,,,,
10/21/2024 13:12:23,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Aracaju ,De 6 a 11 blocos,De 3-8 andares,2,3,Não,,Sim,Sim,Não,,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:12:27,Morador,Moro em um condomínio de Casas,São Paulo ,Mais de 10 quadras,4,4,Não,,Sim,Sim,Sim,Sim,Não,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:12:48,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Paulista PE,Mais de 11 blocos,Até 3 andares,1,1,Sim,Assalto ,Não,Não,Não,Não,Sim,Sim,,,,,,,,,,,,,,,
10/21/2024 13:12:52,Morador,Moro em um condomínio de Casas,Arapiraca ,De 5 a 10 quadras,4,4,Não,Não tive,Sim,Não,Sim,Sim,Não,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:12:52,Morador,Moro em um condomínio de Casas,MACEIÓ-AL ,Mais de 10 quadras,1,1,Não,,Sim,Não,Sim,Não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:12:53,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Aracaju,Até 6 blocos,Mais de 8 andares,4,4,Não,,Sim,Sim,Não,,,,,,,,,,,,,,,,,,
10/21/2024 13:12:54,Morador,Moro em um condomínio de Casas,Barra de são Miguel ,Mais de 10 quadras,5,4,Não,,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2024 13:13:08,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,34,Até 6 blocos,Mais de 8 andares,5,5,Não,,Sim,Não,Sim,Sim,Não,Sim,,,,,,,,,,,,,,,
10/21/2024 13:13:13,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,Aracaju ,De 6 a 11 blocos,De 3-8 andares,4,4,Não,,Sim,Sim,Sim,Sim,Não,Sim,,,,,,,,,,,,,,,
10/21/2024 13:13:14,Morador,Moro em um condomínio de Prédios,,,,,,,,,,,,,39,Mais de 11 blocos,Até 3 andares,1,1,Sim,Assaltos,Sim,Não,Não,Não,Não,Não,,,,,,,,,,,,,,,
10/21/2024 13:13:16,Morador,Moro em um condomínio de Casas,Curitiba ,Até 5 quadras,4,4,Sim,"Entraram no meu condomínio pelo lado da minha casa, a qual não foi invadida ",Sim,Sim,Sim,Sim,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
